"","ID","Item","Prime","Training","Completion","X","X.1","subj","item","cond","resp","respcode","condcode"
"33",14,23,0,0,1,NA,NA,14,23,"PO","DO",1,-0.5
"34",14,24,0,0,1,NA,NA,14,24,"PO","DO",1,-0.5
"35",14,25,0,0,1,NA,NA,14,25,"PO","DO",1,-0.5
"36",15,21,1,0,0,NA,NA,15,21,"DO","PO",0,0.5
"37",15,26,1,0,0,NA,NA,15,26,"DO","PO",0,0.5
"38",16,23,0,0,0,NA,NA,16,23,"PO","PO",0,-0.5
"39",16,26,0,0,0,NA,NA,16,26,"PO","PO",0,-0.5
"40",20,21,0,0,0,NA,NA,20,21,"PO","PO",0,-0.5
"41",20,22,0,0,0,NA,NA,20,22,"PO","PO",0,-0.5
"42",20,23,0,0,0,NA,NA,20,23,"PO","PO",0,-0.5
"43",23,23,1,0,1,NA,NA,23,23,"DO","DO",1,0.5
"44",24,25,0,0,1,NA,NA,24,25,"PO","DO",1,-0.5
"45",24,22,0,0,0,NA,NA,24,22,"PO","PO",0,-0.5
"46",24,23,0,0,0,NA,NA,24,23,"PO","PO",0,-0.5
"47",24,24,0,0,0,NA,NA,24,24,"PO","PO",0,-0.5
"48",24,26,0,0,0,NA,NA,24,26,"PO","PO",0,-0.5
"49",27,22,1,0,0,NA,NA,27,22,"DO","PO",0,0.5
"50",27,23,1,0,0,NA,NA,27,23,"DO","PO",0,0.5
"51",27,21,1,0,0,NA,NA,27,21,"DO","PO",0,0.5
"52",28,23,0,0,0,NA,NA,28,23,"PO","PO",0,-0.5
"53",28,26,0,0,0,NA,NA,28,26,"PO","PO",0,-0.5
"54",31,24,1,0,1,NA,NA,31,24,"DO","DO",1,0.5
"55",31,23,1,0,0,NA,NA,31,23,"DO","PO",0,0.5
"56",31,26,1,0,0,NA,NA,31,26,"DO","PO",0,0.5
"57",32,23,0,0,1,NA,NA,32,23,"PO","DO",1,-0.5
"58",32,24,0,0,1,NA,NA,32,24,"PO","DO",1,-0.5
"59",32,26,0,0,1,NA,NA,32,26,"PO","DO",1,-0.5
"60",41,24,1,0,1,NA,NA,41,24,"DO","DO",1,0.5
"61",41,21,1,0,0,NA,NA,41,21,"DO","PO",0,0.5
"62",41,22,1,0,0,NA,NA,41,22,"DO","PO",0,0.5
"63",41,23,1,0,0,NA,NA,41,23,"DO","PO",0,0.5
"64",41,25,1,0,0,NA,NA,41,25,"DO","PO",0,0.5
"65",41,26,1,0,0,NA,NA,41,26,"DO","PO",0,0.5
"66",42,22,1,0,1,NA,NA,42,22,"DO","DO",1,0.5
"67",42,24,1,0,1,NA,NA,42,24,"DO","DO",1,0.5
"68",42,21,1,0,0,NA,NA,42,21,"DO","PO",0,0.5
"69",44,22,1,0,1,NA,NA,44,22,"DO","DO",1,0.5
"70",44,23,1,0,0,NA,NA,44,23,"DO","PO",0,0.5
"71",47,23,1,0,0,NA,NA,47,23,"DO","PO",0,0.5
"72",47,24,1,0,0,NA,NA,47,24,"DO","PO",0,0.5
"73",47,25,1,0,0,NA,NA,47,25,"DO","PO",0,0.5
"74",63,21,1,0,0,NA,NA,63,21,"DO","PO",0,0.5
"75",63,23,1,0,0,NA,NA,63,23,"DO","PO",0,0.5
"76",67,21,1,0,1,NA,NA,67,21,"DO","DO",1,0.5
"77",67,22,1,0,1,NA,NA,67,22,"DO","DO",1,0.5
"78",67,25,1,0,0,NA,NA,67,25,"DO","PO",0,0.5
"79",72,25,0,0,1,NA,NA,72,25,"PO","DO",1,-0.5
"80",72,21,0,0,0,NA,NA,72,21,"PO","PO",0,-0.5
"81",72,22,0,0,0,NA,NA,72,22,"PO","PO",0,-0.5
"82",72,23,0,0,0,NA,NA,72,23,"PO","PO",0,-0.5
"83",72,24,0,0,0,NA,NA,72,24,"PO","PO",0,-0.5
"84",100,21,0,0,0,NA,NA,100,21,"PO","PO",0,-0.5
"85",100,23,0,0,0,NA,NA,100,23,"PO","PO",0,-0.5
"86",100,24,0,0,0,NA,NA,100,24,"PO","PO",0,-0.5
"87",100,26,0,0,0,NA,NA,100,26,"PO","PO",0,-0.5
"88",132,21,0,0,0,NA,NA,132,21,"PO","PO",0,-0.5
"89",132,22,0,0,0,NA,NA,132,22,"PO","PO",0,-0.5
"90",132,23,0,0,0,NA,NA,132,23,"PO","PO",0,-0.5
"91",132,24,0,0,0,NA,NA,132,24,"PO","PO",0,-0.5
"92",132,25,0,0,0,NA,NA,132,25,"PO","PO",0,-0.5
"93",132,26,0,0,0,NA,NA,132,26,"PO","PO",0,-0.5
"94",136,21,0,0,1,NA,NA,136,21,"PO","DO",1,-0.5
"95",136,22,0,0,1,NA,NA,136,22,"PO","DO",1,-0.5
"96",136,24,0,0,1,NA,NA,136,24,"PO","DO",1,-0.5
"97",136,25,0,0,1,NA,NA,136,25,"PO","DO",1,-0.5
"98",136,23,0,0,0,NA,NA,136,23,"PO","PO",0,-0.5
"99",144,22,0,0,0,NA,NA,144,22,"PO","PO",0,-0.5
"100",144,23,0,0,0,NA,NA,144,23,"PO","PO",0,-0.5
"101",144,24,0,0,0,NA,NA,144,24,"PO","PO",0,-0.5
"102",144,26,0,0,0,NA,NA,144,26,"PO","PO",0,-0.5
"103",187,21,1,0,1,NA,NA,187,21,"DO","DO",1,0.5
"104",187,22,1,0,1,NA,NA,187,22,"DO","DO",1,0.5
"105",187,24,1,0,1,NA,NA,187,24,"DO","DO",1,0.5
"106",187,25,1,0,1,NA,NA,187,25,"DO","DO",1,0.5
"107",187,26,1,0,1,NA,NA,187,26,"DO","DO",1,0.5
"108",612,24,1,0,1,NA,NA,612,24,"DO","DO",1,0.5
"109",612,26,1,0,1,NA,NA,612,26,"DO","DO",1,0.5
"110",612,21,1,0,0,NA,NA,612,21,"DO","PO",0,0.5
"111",612,22,1,0,0,NA,NA,612,22,"DO","PO",0,0.5
"112",612,23,1,0,0,NA,NA,612,23,"DO","PO",0,0.5
"113",612,25,1,0,0,NA,NA,612,25,"DO","PO",0,0.5
"114",613,22,1,0,1,NA,NA,613,22,"DO","DO",1,0.5
"115",613,21,1,0,0,NA,NA,613,21,"DO","PO",0,0.5
"116",613,23,1,0,0,NA,NA,613,23,"DO","PO",0,0.5
"117",613,24,1,0,0,NA,NA,613,24,"DO","PO",0,0.5
"118",613,25,1,0,0,NA,NA,613,25,"DO","PO",0,0.5
"119",615,21,1,0,0,NA,NA,615,21,"DO","PO",0,0.5
"120",615,23,1,0,0,NA,NA,615,23,"DO","PO",0,0.5
"121",615,26,1,0,0,NA,NA,615,26,"DO","PO",0,0.5
"122",616,22,1,0,0,NA,NA,616,22,"DO","PO",0,0.5
"123",617,24,1,0,1,NA,NA,617,24,"DO","DO",1,0.5
"124",617,21,1,0,0,NA,NA,617,21,"DO","PO",0,0.5
"125",617,23,1,0,0,NA,NA,617,23,"DO","PO",0,0.5
"126",617,25,1,0,0,NA,NA,617,25,"DO","PO",0,0.5
"127",617,26,1,0,0,NA,NA,617,26,"DO","PO",0,0.5
"128",618,21,1,0,0,NA,NA,618,21,"DO","PO",0,0.5
"129",618,22,1,0,0,NA,NA,618,22,"DO","PO",0,0.5
"130",618,23,1,0,0,NA,NA,618,23,"DO","PO",0,0.5
"131",618,24,1,0,0,NA,NA,618,24,"DO","PO",0,0.5
"132",618,25,1,0,0,NA,NA,618,25,"DO","PO",0,0.5
"133",618,26,1,0,0,NA,NA,618,26,"DO","PO",0,0.5
"134",619,21,1,0,0,NA,NA,619,21,"DO","PO",0,0.5
"135",619,22,1,0,0,NA,NA,619,22,"DO","PO",0,0.5
"136",619,23,1,0,0,NA,NA,619,23,"DO","PO",0,0.5
"137",620,25,1,0,1,NA,NA,620,25,"DO","DO",1,0.5
"138",620,26,1,0,1,NA,NA,620,26,"DO","DO",1,0.5
"139",620,21,1,0,0,NA,NA,620,21,"DO","PO",0,0.5
"140",620,23,1,0,0,NA,NA,620,23,"DO","PO",0,0.5
"141",621,21,1,0,0,NA,NA,621,21,"DO","PO",0,0.5
"142",621,22,1,0,0,NA,NA,621,22,"DO","PO",0,0.5
"143",621,23,1,0,0,NA,NA,621,23,"DO","PO",0,0.5
"144",621,25,1,0,0,NA,NA,621,25,"DO","PO",0,0.5
"145",622,22,1,0,1,NA,NA,622,22,"DO","DO",1,0.5
"146",622,24,1,0,1,NA,NA,622,24,"DO","DO",1,0.5
"147",622,21,1,0,0,NA,NA,622,21,"DO","PO",0,0.5
"148",622,23,1,0,0,NA,NA,622,23,"DO","PO",0,0.5
"149",622,25,1,0,0,NA,NA,622,25,"DO","PO",0,0.5
"150",622,26,1,0,0,NA,NA,622,26,"DO","PO",0,0.5
"151",624,21,1,0,0,NA,NA,624,21,"DO","PO",0,0.5
"152",624,22,1,0,0,NA,NA,624,22,"DO","PO",0,0.5
"153",624,23,1,0,0,NA,NA,624,23,"DO","PO",0,0.5
"154",624,24,1,0,0,NA,NA,624,24,"DO","PO",0,0.5
"155",652,22,1,0,1,NA,NA,652,22,"DO","DO",1,0.5
"156",652,24,1,0,1,NA,NA,652,24,"DO","DO",1,0.5
"157",652,25,1,0,1,NA,NA,652,25,"DO","DO",1,0.5
"158",652,21,1,0,0,NA,NA,652,21,"DO","PO",0,0.5
"159",653,25,1,0,1,NA,NA,653,25,"DO","DO",1,0.5
"160",653,23,1,0,0,NA,NA,653,23,"DO","PO",0,0.5
"161",654,21,1,0,1,NA,NA,654,21,"DO","DO",1,0.5
"162",654,22,1,0,1,NA,NA,654,22,"DO","DO",1,0.5
"163",654,23,1,0,1,NA,NA,654,23,"DO","DO",1,0.5
"164",654,24,1,0,1,NA,NA,654,24,"DO","DO",1,0.5
"165",654,25,1,0,1,NA,NA,654,25,"DO","DO",1,0.5
"166",654,26,1,0,1,NA,NA,654,26,"DO","DO",1,0.5
"167",655,21,1,0,1,NA,NA,655,21,"DO","DO",1,0.5
"168",655,25,1,0,1,NA,NA,655,25,"DO","DO",1,0.5
"169",655,22,1,0,0,NA,NA,655,22,"DO","PO",0,0.5
"170",655,26,1,0,0,NA,NA,655,26,"DO","PO",0,0.5
"171",656,22,1,0,1,NA,NA,656,22,"DO","DO",1,0.5
"172",656,26,1,0,1,NA,NA,656,26,"DO","DO",1,0.5
"173",656,21,1,0,0,NA,NA,656,21,"DO","PO",0,0.5
"174",656,23,1,0,0,NA,NA,656,23,"DO","PO",0,0.5
"175",656,24,1,0,0,NA,NA,656,24,"DO","PO",0,0.5
"176",657,24,1,0,1,NA,NA,657,24,"DO","DO",1,0.5
"177",657,22,1,0,0,NA,NA,657,22,"DO","PO",0,0.5
"178",657,23,1,0,0,NA,NA,657,23,"DO","PO",0,0.5
"179",657,25,1,0,0,NA,NA,657,25,"DO","PO",0,0.5
"180",659,21,1,0,1,NA,NA,659,21,"DO","DO",1,0.5
"181",659,22,1,0,1,NA,NA,659,22,"DO","DO",1,0.5
"182",659,23,1,0,1,NA,NA,659,23,"DO","DO",1,0.5
"183",659,24,1,0,1,NA,NA,659,24,"DO","DO",1,0.5
"184",659,25,1,0,1,NA,NA,659,25,"DO","DO",1,0.5
"185",659,26,1,0,1,NA,NA,659,26,"DO","DO",1,0.5
"186",660,25,1,0,1,NA,NA,660,25,"DO","DO",1,0.5
"187",660,22,1,0,0,NA,NA,660,22,"DO","PO",0,0.5
"188",660,24,1,0,0,NA,NA,660,24,"DO","PO",0,0.5
"189",660,26,1,0,0,NA,NA,660,26,"DO","PO",0,0.5
"190",661,21,1,0,1,NA,NA,661,21,"DO","DO",1,0.5
"191",661,22,1,0,1,NA,NA,661,22,"DO","DO",1,0.5
"192",661,24,1,0,1,NA,NA,661,24,"DO","DO",1,0.5
"193",661,25,1,0,1,NA,NA,661,25,"DO","DO",1,0.5
"194",661,26,1,0,1,NA,NA,661,26,"DO","DO",1,0.5
"195",661,23,1,0,0,NA,NA,661,23,"DO","PO",0,0.5
"196",663,22,1,0,1,NA,NA,663,22,"DO","DO",1,0.5
"197",663,25,1,0,1,NA,NA,663,25,"DO","DO",1,0.5
"198",663,26,1,0,1,NA,NA,663,26,"DO","DO",1,0.5
"199",663,21,1,0,0,NA,NA,663,21,"DO","PO",0,0.5
"200",663,23,1,0,0,NA,NA,663,23,"DO","PO",0,0.5
"201",664,22,1,0,1,NA,NA,664,22,"DO","DO",1,0.5
"202",664,23,1,0,1,NA,NA,664,23,"DO","DO",1,0.5
"203",664,21,1,0,1,NA,NA,664,21,"DO","DO",1,0.5
"204",664,25,1,0,0,NA,NA,664,25,"DO","PO",0,0.5
"205",664,26,1,0,0,NA,NA,664,26,"DO","PO",0,0.5
"206",665,24,1,0,1,NA,NA,665,24,"DO","DO",1,0.5
"207",665,25,1,0,1,NA,NA,665,25,"DO","DO",1,0.5
"208",665,26,1,0,1,NA,NA,665,26,"DO","DO",1,0.5
"209",665,22,1,0,0,NA,NA,665,22,"DO","PO",0,0.5
"210",665,23,1,0,0,NA,NA,665,23,"DO","PO",0,0.5
"211",666,21,1,0,1,NA,NA,666,21,"DO","DO",1,0.5
"212",666,22,1,0,0,NA,NA,666,22,"DO","PO",0,0.5
"213",666,23,1,0,0,NA,NA,666,23,"DO","PO",0,0.5
"214",666,24,1,0,0,NA,NA,666,24,"DO","PO",0,0.5
"215",666,25,1,0,0,NA,NA,666,25,"DO","PO",0,0.5
"216",666,26,1,0,0,NA,NA,666,26,"DO","PO",0,0.5
"217",668,21,1,0,1,NA,NA,668,21,"DO","DO",1,0.5
"218",668,22,1,0,1,NA,NA,668,22,"DO","DO",1,0.5
"219",668,25,1,0,1,NA,NA,668,25,"DO","DO",1,0.5
"220",668,26,1,0,1,NA,NA,668,26,"DO","DO",1,0.5
"221",668,23,1,0,0,NA,NA,668,23,"DO","PO",0,0.5
"222",669,25,1,0,1,NA,NA,669,25,"DO","DO",1,0.5
"223",669,21,1,0,0,NA,NA,669,21,"DO","PO",0,0.5
"224",669,22,1,0,0,NA,NA,669,22,"DO","PO",0,0.5
"225",669,23,1,0,0,NA,NA,669,23,"DO","PO",0,0.5
"226",670,21,1,0,0,NA,NA,670,21,"DO","PO",0,0.5
"227",670,22,1,0,0,NA,NA,670,22,"DO","PO",0,0.5
"228",670,24,1,0,0,NA,NA,670,24,"DO","PO",0,0.5
"229",670,25,1,0,0,NA,NA,670,25,"DO","PO",0,0.5
"230",670,26,1,0,0,NA,NA,670,26,"DO","PO",0,0.5
"231",671,21,1,0,1,NA,NA,671,21,"DO","DO",1,0.5
"232",671,22,1,0,1,NA,NA,671,22,"DO","DO",1,0.5
"233",671,23,1,0,1,NA,NA,671,23,"DO","DO",1,0.5
"234",671,24,1,0,1,NA,NA,671,24,"DO","DO",1,0.5
"235",671,25,1,0,1,NA,NA,671,25,"DO","DO",1,0.5
"236",671,26,1,0,1,NA,NA,671,26,"DO","DO",1,0.5
"237",673,22,1,0,1,NA,NA,673,22,"DO","DO",1,0.5
"238",673,24,1,0,1,NA,NA,673,24,"DO","DO",1,0.5
"239",673,25,1,0,1,NA,NA,673,25,"DO","DO",1,0.5
"240",673,26,1,0,1,NA,NA,673,26,"DO","DO",1,0.5
"241",673,21,1,0,0,NA,NA,673,21,"DO","PO",0,0.5
"242",675,22,1,0,1,NA,NA,675,22,"DO","DO",1,0.5
"243",675,21,1,0,0,NA,NA,675,21,"DO","PO",0,0.5
"244",675,23,1,0,0,NA,NA,675,23,"DO","PO",0,0.5
"245",675,25,1,0,0,NA,NA,675,25,"DO","PO",0,0.5
"246",676,22,1,0,1,NA,NA,676,22,"DO","DO",1,0.5
"247",676,24,1,0,1,NA,NA,676,24,"DO","DO",1,0.5
"248",676,21,1,0,0,NA,NA,676,21,"DO","PO",0,0.5
"249",676,23,1,0,0,NA,NA,676,23,"DO","PO",0,0.5
"250",676,25,1,0,0,NA,NA,676,25,"DO","PO",0,0.5
"251",676,26,1,0,0,NA,NA,676,26,"DO","PO",0,0.5
"252",678,21,1,0,1,NA,NA,678,21,"DO","DO",1,0.5
"253",678,22,1,0,1,NA,NA,678,22,"DO","DO",1,0.5
"254",678,24,1,0,1,NA,NA,678,24,"DO","DO",1,0.5
"255",678,25,1,0,1,NA,NA,678,25,"DO","DO",1,0.5
"256",678,26,1,0,1,NA,NA,678,26,"DO","DO",1,0.5
"257",678,23,1,0,0,NA,NA,678,23,"DO","PO",0,0.5
"258",679,21,1,0,1,NA,NA,679,21,"DO","DO",1,0.5
"259",679,22,1,0,1,NA,NA,679,22,"DO","DO",1,0.5
"260",679,24,1,0,1,NA,NA,679,24,"DO","DO",1,0.5
"261",679,25,1,0,1,NA,NA,679,25,"DO","DO",1,0.5
"262",680,22,1,0,1,NA,NA,680,22,"DO","DO",1,0.5
"263",680,24,1,0,1,NA,NA,680,24,"DO","DO",1,0.5
"264",680,23,1,0,0,NA,NA,680,23,"DO","PO",0,0.5
"265",680,26,1,0,0,NA,NA,680,26,"DO","PO",0,0.5
"266",710,21,0,0,1,NA,NA,710,21,"PO","DO",1,-0.5
"267",710,22,0,0,1,NA,NA,710,22,"PO","DO",1,-0.5
"268",710,24,0,0,1,NA,NA,710,24,"PO","DO",1,-0.5
"269",710,25,0,0,1,NA,NA,710,25,"PO","DO",1,-0.5
"270",710,23,0,0,0,NA,NA,710,23,"PO","PO",0,-0.5
"271",711,21,0,0,1,NA,NA,711,21,"PO","DO",1,-0.5
"272",711,22,0,0,1,NA,NA,711,22,"PO","DO",1,-0.5
"273",711,23,0,0,1,NA,NA,711,23,"PO","DO",1,-0.5
"274",711,24,0,0,1,NA,NA,711,24,"PO","DO",1,-0.5
"275",711,25,0,0,1,NA,NA,711,25,"PO","DO",1,-0.5
"276",712,21,0,0,0,NA,NA,712,21,"PO","PO",0,-0.5
"277",712,22,0,0,0,NA,NA,712,22,"PO","PO",0,-0.5
"278",712,23,0,0,0,NA,NA,712,23,"PO","PO",0,-0.5
"279",712,24,0,0,0,NA,NA,712,24,"PO","PO",0,-0.5
"280",712,25,0,0,0,NA,NA,712,25,"PO","PO",0,-0.5
"281",712,26,0,0,0,NA,NA,712,26,"PO","PO",0,-0.5
"282",713,21,0,0,0,NA,NA,713,21,"PO","PO",0,-0.5
"283",713,22,0,0,0,NA,NA,713,22,"PO","PO",0,-0.5
"284",713,23,0,0,0,NA,NA,713,23,"PO","PO",0,-0.5
"285",713,24,0,0,0,NA,NA,713,24,"PO","PO",0,-0.5
"286",713,25,0,0,0,NA,NA,713,25,"PO","PO",0,-0.5
"287",714,21,0,0,0,NA,NA,714,21,"PO","PO",0,-0.5
"288",714,22,0,0,0,NA,NA,714,22,"PO","PO",0,-0.5
"289",714,23,0,0,0,NA,NA,714,23,"PO","PO",0,-0.5
"290",714,24,0,0,0,NA,NA,714,24,"PO","PO",0,-0.5
"291",714,25,0,0,0,NA,NA,714,25,"PO","PO",0,-0.5
"292",714,26,0,0,0,NA,NA,714,26,"PO","PO",0,-0.5
"293",715,21,0,0,0,NA,NA,715,21,"PO","PO",0,-0.5
"294",715,22,0,0,0,NA,NA,715,22,"PO","PO",0,-0.5
"295",715,23,0,0,0,NA,NA,715,23,"PO","PO",0,-0.5
"296",715,24,0,0,0,NA,NA,715,24,"PO","PO",0,-0.5
"297",715,25,0,0,0,NA,NA,715,25,"PO","PO",0,-0.5
"298",715,26,0,0,0,NA,NA,715,26,"PO","PO",0,-0.5
"299",717,21,0,0,1,NA,NA,717,21,"PO","DO",1,-0.5
"300",717,22,0,0,1,NA,NA,717,22,"PO","DO",1,-0.5
"301",717,25,0,0,1,NA,NA,717,25,"PO","DO",1,-0.5
"302",717,24,0,0,0,NA,NA,717,24,"PO","PO",0,-0.5
"303",717,26,0,0,0,NA,NA,717,26,"PO","PO",0,-0.5
"304",718,22,0,0,1,NA,NA,718,22,"PO","DO",1,-0.5
"305",718,23,0,0,0,NA,NA,718,23,"PO","PO",0,-0.5
"306",718,24,0,0,0,NA,NA,718,24,"PO","PO",0,-0.5
"307",718,25,0,0,0,NA,NA,718,25,"PO","PO",0,-0.5
"308",718,26,0,0,0,NA,NA,718,26,"PO","PO",0,-0.5
"309",719,22,0,0,1,NA,NA,719,22,"PO","DO",1,-0.5
"310",719,24,0,0,1,NA,NA,719,24,"PO","DO",1,-0.5
"311",719,21,0,0,0,NA,NA,719,21,"PO","PO",0,-0.5
"312",719,23,0,0,0,NA,NA,719,23,"PO","PO",0,-0.5
"313",719,25,0,0,0,NA,NA,719,25,"PO","PO",0,-0.5
"314",719,26,0,0,0,NA,NA,719,26,"PO","PO",0,-0.5
"315",720,21,0,0,0,NA,NA,720,21,"PO","PO",0,-0.5
"316",720,22,0,0,0,NA,NA,720,22,"PO","PO",0,-0.5
"317",720,23,0,0,0,NA,NA,720,23,"PO","PO",0,-0.5
"318",720,24,0,0,0,NA,NA,720,24,"PO","PO",0,-0.5
"319",720,25,0,0,0,NA,NA,720,25,"PO","PO",0,-0.5
"320",720,26,0,0,0,NA,NA,720,26,"PO","PO",0,-0.5
"321",750,21,0,0,1,NA,NA,750,21,"PO","DO",1,-0.5
"322",750,22,0,0,1,NA,NA,750,22,"PO","DO",1,-0.5
"323",750,24,0,0,1,NA,NA,750,24,"PO","DO",1,-0.5
"324",750,25,0,0,1,NA,NA,750,25,"PO","DO",1,-0.5
"325",750,23,0,0,0,NA,NA,750,23,"PO","PO",0,-0.5
"326",752,25,0,0,1,NA,NA,752,25,"PO","DO",1,-0.5
"327",752,21,0,0,0,NA,NA,752,21,"PO","PO",0,-0.5
"328",752,23,0,0,0,NA,NA,752,23,"PO","PO",0,-0.5
"329",753,25,0,0,1,NA,NA,753,25,"PO","DO",1,-0.5
"330",753,26,0,0,1,NA,NA,753,26,"PO","DO",1,-0.5
"331",753,21,0,0,0,NA,NA,753,21,"PO","PO",0,-0.5
"332",753,23,0,0,0,NA,NA,753,23,"PO","PO",0,-0.5
"333",754,21,0,0,0,NA,NA,754,21,"PO","PO",0,-0.5
"334",754,22,0,0,0,NA,NA,754,22,"PO","PO",0,-0.5
"335",754,24,0,0,0,NA,NA,754,24,"PO","PO",0,-0.5
"336",754,25,0,0,0,NA,NA,754,25,"PO","PO",0,-0.5
"337",756,21,0,0,1,NA,NA,756,21,"PO","DO",1,-0.5
"338",756,22,0,0,0,NA,NA,756,22,"PO","PO",0,-0.5
"339",757,21,0,0,1,NA,NA,757,21,"PO","DO",1,-0.5
"340",757,25,0,0,0,NA,NA,757,25,"PO","PO",0,-0.5
"341",758,22,0,0,0,NA,NA,758,22,"PO","PO",0,-0.5
"342",758,23,0,0,0,NA,NA,758,23,"PO","PO",0,-0.5
"343",758,25,0,0,0,NA,NA,758,25,"PO","PO",0,-0.5
"344",759,24,0,0,1,NA,NA,759,24,"PO","DO",1,-0.5
"345",759,25,0,0,1,NA,NA,759,25,"PO","DO",1,-0.5
"346",759,26,0,0,1,NA,NA,759,26,"PO","DO",1,-0.5
"347",759,21,0,0,0,NA,NA,759,21,"PO","PO",0,-0.5
"348",759,22,0,0,0,NA,NA,759,22,"PO","PO",0,-0.5
"349",760,21,0,0,1,NA,NA,760,21,"PO","DO",1,-0.5
"350",760,22,0,0,1,NA,NA,760,22,"PO","DO",1,-0.5
"351",760,24,0,0,1,NA,NA,760,24,"PO","DO",1,-0.5
"352",760,23,0,0,0,NA,NA,760,23,"PO","PO",0,-0.5
"353",760,25,0,0,0,NA,NA,760,25,"PO","PO",0,-0.5
"354",760,26,0,0,0,NA,NA,760,26,"PO","PO",0,-0.5
"355",761,21,0,0,0,NA,NA,761,21,"PO","PO",0,-0.5
"356",761,22,0,0,0,NA,NA,761,22,"PO","PO",0,-0.5
"357",761,24,0,0,0,NA,NA,761,24,"PO","PO",0,-0.5
"358",761,25,0,0,0,NA,NA,761,25,"PO","PO",0,-0.5
"359",761,26,0,0,0,NA,NA,761,26,"PO","PO",0,-0.5
"360",762,22,0,0,1,NA,NA,762,22,"PO","DO",1,-0.5
"361",762,23,0,0,1,NA,NA,762,23,"PO","DO",1,-0.5
"362",762,25,0,0,1,NA,NA,762,25,"PO","DO",1,-0.5
"363",762,21,0,0,0,NA,NA,762,21,"PO","PO",0,-0.5
"364",762,24,0,0,0,NA,NA,762,24,"PO","PO",0,-0.5
"365",762,26,0,0,0,NA,NA,762,26,"PO","PO",0,-0.5
"366",763,22,0,0,0,NA,NA,763,22,"PO","PO",0,-0.5
"367",763,24,0,0,0,NA,NA,763,24,"PO","PO",0,-0.5
"368",763,25,0,0,0,NA,NA,763,25,"PO","PO",0,-0.5
"369",763,26,0,0,0,NA,NA,763,26,"PO","PO",0,-0.5
"370",764,21,0,0,0,NA,NA,764,21,"PO","PO",0,-0.5
"371",764,22,0,0,0,NA,NA,764,22,"PO","PO",0,-0.5
"372",764,26,0,0,0,NA,NA,764,26,"PO","PO",0,-0.5
"373",766,23,0,0,0,NA,NA,766,23,"PO","PO",0,-0.5
"374",766,25,0,0,0,NA,NA,766,25,"PO","PO",0,-0.5
"375",766,26,0,0,0,NA,NA,766,26,"PO","PO",0,-0.5
"376",768,24,0,0,1,NA,NA,768,24,"PO","DO",1,-0.5
"377",768,26,0,0,1,NA,NA,768,26,"PO","DO",1,-0.5
"378",768,25,0,0,0,NA,NA,768,25,"PO","PO",0,-0.5
"379",769,21,0,0,1,NA,NA,769,21,"PO","DO",1,-0.5
"380",769,22,0,0,0,NA,NA,769,22,"PO","PO",0,-0.5
"381",769,23,0,0,0,NA,NA,769,23,"PO","PO",0,-0.5
