"","X.2","ExperimentID","Subcondition","Dep.measure","X.1","Paper.ID","row","exclude","Entered..by","Authors","Year","Experiment.name","N.subjects","num.data.1","num.data.2","N.unique.items","N.items.per.subj","num.data.items.1","num.data.items.2","Population","L1L1..L2L1..L1L2..L2L2","Auditory.prime","Target.task","Participant.produces.or.repeats.prime","Construction.type","Language","Lexical.boost.","Confederate.dialogue.","Lag","Quoted.text.from.original.paper.indicating.prediction.of.interest","Study.design","Dep.primed","participant.se..dep.primed.","Alt.primed","participant.se..alt.primed.","Simple.effect","se.on.diff","Other.pct","beta.from.lmer","std.error.on.beta","Dep.Omnibus.mean","Alt.Omnibus.mean","ANOVA.F1","ANOVA.F2","Baseline","participant.se..baseline.","Notes","X","p.repeats.prime","ID","StudyID","YearNum","L1","Other.pct.new","Alt.primed.new","Dep.primed.new"
"11",11,"101/Bock K., L/1992/Experiment 1/inanimate prime subject, form focus/transitive","inanimate prime subject, form focus","A",610,101,599,0,"KM","Bock K., Loebell H., Morey R.","1992","Experiment 1","96&96",96,96,"16","8&8",8,8,"English L1","L1L1","1","PD",1,"transitive","English","no","no","0","","2 (prime) x 2 (animacy) x 2 (between subject: meaning focus vs form focus)",0.34,"",0.225,"",0.115,"",0.47,NA,NA,NA,NA,"","",NA,"","","",1,"Bock K., L/1992/Experiment 1/inanimate prime subject, form focus/A","101/Bock K., L/1992/Experiment 1",-8,"L1L1",NA,NA,NA
"12",12,"101/Bock K., L/1992/Experiment 1/inanimate prime subject, meaning focus/transitive","inanimate prime subject, meaning focus","A",608,101,597,0,"KM","Bock K., Loebell H., Morey R.","1992","Experiment 1","96&96",96,96,"16","8&8",8,8,"English L1","L1L1","1","PD",1,"transitive","English","no","no","0","","2 (prime) x 2 (animacy) x 2 (between subject: meaning focus vs form focus)",0.385,"",0.335,"",0.05,"",0.47,NA,NA,NA,NA,"","",NA,"","","",1,"Bock K., L/1992/Experiment 1/inanimate prime subject, meaning focus/A","101/Bock K., L/1992/Experiment 1",-8,"L1L1",NA,NA,NA
"13",13,"103/Cai Z., Pi/2013/Experiment/baseline/dative","baseline","DO",614,103,607,0,"KM","Cai Z., Pickering M., Sturt P.","2013","Experiment","60&60",60,60,"36","6&6",6,6,"Chinese university students","L1L1","1","PD",0,"dative","Chinese","yes","no","0","","2 (prime) x 3 (ellipsis/full-form/baseline)",0.2056074766,"",0.0709876543185802,"",0.1346198223,"",-1.00000008274037e-11,NA,NA,NA,NA,"","",NA,"","","",0,"Cai Z., Pi/2013/Experiment/baseline/DO","103/Cai Z., Pi/2013/Experiment",13,"L1L1",-1.00000008274037e-11,0.0709876543185802,0.2056074766
"14",14,"103/Cai Z., Pi/2013/Experiment/baseline/dative","baseline","PO",617,103,610,0,"KM","Cai Z., Pickering M., Sturt P.","2013","Experiment","60&60",60,60,"36","6&6",6,6,"Chinese university students","L2L2","1","PD",1,"dative","English","no","yes","0","","2 (prime) x 2 (between participants: participant repeats prime)",0.92901234568142,"",0.7943925234,"",0.1346198223,"",-1.00000008274037e-11,NA,NA,NA,NA,"","",NA,"","","",1,"Cai Z., Pi/2013/Experiment/baseline/PO","103/Cai Z., Pi/2013/Experiment",13,"L2L2",-1.00000008274037e-11,0.7943925234,0.92901234568142
"15",15,"103/Cai Z., Pi/2013/Experiment/ellipsis/dative","ellipsis","DO",612,103,605,0,"KM","Cai Z., Pickering M., Sturt P.","2013","Experiment","60&60",60,60,"36","6&6",6,6,"Chinese university students","L1L1","1","PD",0,"dative","Chinese","yes","no","0","","2 (prime) x 3 (ellipsis/full-form/baseline)",0.1748466258,"",0.1003134796,"",0.07453314614,"",0,NA,NA,NA,NA,"","",NA,"","","",0,"Cai Z., Pi/2013/Experiment/ellipsis/DO","103/Cai Z., Pi/2013/Experiment",13,"L1L1",0,0.1003134796,0.1748466258
"16",16,"103/Cai Z., Pi/2013/Experiment/ellipsis/dative","ellipsis","PO",615,103,608,0,"KM","Cai Z., Pickering M., Sturt P.","2013","Experiment","60&60",60,60,"36","6&6",6,6,"Chinese university students","L2L2","1","PD",1,"dative","English","no","yes","0","","2 (prime) x 2 (between participants: participant repeats prime)",0.8996865204,"",0.8251533742,"",0.07453314614,"",0,NA,NA,NA,NA,"","",NA,"","","",1,"Cai Z., Pi/2013/Experiment/ellipsis/PO","103/Cai Z., Pi/2013/Experiment",13,"L2L2",0,0.8251533742,0.8996865204
"17",17,"103/Cai Z., Pi/2013/Experiment/full-form/dative","full-form","DO",613,103,606,0,"KM","Cai Z., Pickering M., Sturt P.","2013","Experiment","60&60",60,60,"36","6&6",6,6,"Chinese university students","L2L2","1","PD",1,"dative","English","no","yes","0","","2 (prime) x 2 (between participants: participant repeats prime)",0.2699386503,"",0.0537974683526899,"",0.216141182,"",2.50000020685093e-11,NA,NA,NA,NA,"","",NA,"","","",1,"Cai Z., Pi/2013/Experiment/full-form/DO","103/Cai Z., Pi/2013/Experiment",13,"L2L2",2.50000020685093e-11,0.0537974683526899,0.2699386503
"18",18,"103/Cai Z., Pi/2013/Experiment/full-form/dative","full-form","PO",616,103,609,0,"KM","Cai Z., Pickering M., Sturt P.","2013","Experiment","60&60",60,60,"36","6&6",6,6,"Chinese university students","L1L1","1","PD",0,"dative","Chinese","yes","no","0","","2 (prime) x 3 (ellipsis/full-form/baseline)",0.94620253164731,"",0.7300613497,"",0.216141182,"",2.50000020685093e-11,NA,NA,NA,NA,"","",NA,"","","",0,"Cai Z., Pi/2013/Experiment/full-form/PO","103/Cai Z., Pi/2013/Experiment",13,"L1L1",2.50000020685093e-11,0.7300613497,0.94620253164731
"19",19,"11/Cai Z.G., /2012/Experiment 1//dative","","PO",97,11,97,0,"RF","Cai Z.G., Pickering M.J., Branigan H.P.","2012","Experiment 1","28&28",28,28,"24","6&12",6,12,"University of Edinburgh community","L1L1","1","PD",0,"dative","Mandarin","yes","yes","0","p. 839, Any priming associated with mappings from conceptual representations to syntactic structure (whether grammatical functions, linear order, or both) should manifest itself as an increased tendency to produce DO responses following DO primes, and PO responses following PO primes, relative to the baseline. In terms of conceptual-to-function mapping, Ba-DO and DO sentences have the same mapping of Recipient to indirect object and Theme to direct object. In terms of conceptual-to-linear mapping, Ba-DO and PO sentences have the same absolute order of thematic roles (i.e., Agent-Theme-Recipient).","prime (4) (DO vs PO vs ba-DO vs baseline)",0.8571428571,"",0.625,"",0.2321428571,"",0,NA,NA,NA,NA,"","",0.6488095238,"","sentence completion; combining ba-DO and DO priming conditions (not sure this is right)","",0,"Cai Z.G., /2012/Experiment 1//PO","11/Cai Z.G., /2012/Experiment 1",12,"L1L1",NA,NA,NA
"20",20,"11/Cai Z.G., /2012/Experiment 2//dative","","PO",98,11,98,0,"RF","Cai Z.G., Pickering M.J., Branigan H.P.","2012","Experiment 2","28&28",28,28,"24","6&12",6,12,"University of Edinburgh community","L1L1","1","PD",0,"dative","Mandarin","yes","yes","0","p. 841, Under the absolute conceptual-to-linear mapping account, Topic-DO primes should not induce PO responses, relative to the baseline.","prime (4) (DO vs PO vs topic-DO vs baseline)",0.9096385542,"",0.5825825826,"",0.3270559716,"",0,NA,NA,NA,NA,"","",0.5892857143,"","sentence completion; combining topic-DO and DO priming conditions (not sure this is right)","",0,"Cai Z.G., /2012/Experiment 2//PO","11/Cai Z.G., /2012/Experiment 2",12,"L1L1",NA,NA,NA
"21",21,"11/Cai Z.G., /2012/Experiment 3/collapsing across topicality condition/dative","collapsing across topicality condition","PO",99,11,99,0,"RF","Cai Z.G., Pickering M.J., Branigan H.P.","2012","Experiment 3","28&28",28,28,"24","12&12",12,12,"University of Edinburgh community","L1L1","1","PD",0,"dative","Mandarin","yes","no","0","p. 843, Thus, conceptual-to-function mapping predicts that Topic-DO should prime DO to a greater extent than Topic-PO primes DO.","prime (2) x prime topicality (2)",0.7994791667,"",0.3934010152,"",0.4060781514,"",0,NA,NA,NA,NA,"","",NA,"","sentence completion; combining across topic conditions","",0,"Cai Z.G., /2012/Experiment 3/collapsing across topicality condition/PO","11/Cai Z.G., /2012/Experiment 3",12,"L1L1",NA,NA,NA
"22",22,"12/Cai Z.G., /2011/Experiment 1/Cantonese, diff verb/dative","Cantonese, diff verb","DO",103,12,103,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 1","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L1L2","1","PD",0,"dative","Cantonese/Mandarin","no","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.38686131391081,"",0.234657039678536,"",0.1423611111,"",0.0434027778,NA,NA,NA,NA,"","",NA,"","0.93","0.07",0,"Cai Z.G., /2011/Experiment 1/Cantonese, diff verb/DO","12/Cai Z.G., /2011/Experiment 1",11,"L1L2",0.0434027778,0.234657039678536,0.38686131391081
"23",23,"12/Cai Z.G., /2011/Experiment 1/Cantonese, diff verb/dative","Cantonese, diff verb","PO",102,12,102,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 1","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L1L2","1","PD",0,"dative","Cantonese/Mandarin","no","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.765342960321464,"",0.61313868608919,"",0.1527777778,"",0.0434027778,NA,NA,NA,NA,"","",NA,"","0.93","0.07",0,"Cai Z.G., /2011/Experiment 1/Cantonese, diff verb/PO","12/Cai Z.G., /2011/Experiment 1",11,"L1L2",0.0434027778,0.61313868608919,0.765342960321464
"24",24,"12/Cai Z.G., /2011/Experiment 1/Cantonese, same verb/dative","Cantonese, same verb","DO",101,12,101,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 1","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L1L2","1","PD",0,"dative","Cantonese/Mandarin","yes","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.542857142892408,"",0.0989399293232279,"",0.4305555556,"",0.02256944444,NA,NA,NA,NA,"","",NA,"","1.87","0.07",0,"Cai Z.G., /2011/Experiment 1/Cantonese, same verb/DO","12/Cai Z.G., /2011/Experiment 1",11,"L1L2",0.02256944444,0.0989399293232279,0.542857142892408
"25",25,"12/Cai Z.G., /2011/Experiment 1/Cantonese, same verb/dative","Cantonese, same verb","PO",100,12,100,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 1","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L1L2","1","PD",0,"dative","Cantonese/Mandarin","yes","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.901060070676772,"",0.457142857107592,"",0.4409722222,"",0.02256944444,NA,NA,NA,NA,"","",NA,"","maybe cant use these betas because they are for COMBINED prime, not broken up by DO/PO","0.07",0,"Cai Z.G., /2011/Experiment 1/Cantonese, same verb/PO","12/Cai Z.G., /2011/Experiment 1",11,"L1L2",0.02256944444,0.457142857107592,0.901060070676772
"26",26,"12/Cai Z.G., /2011/Experiment 1/Mandarin, diff verb/dative","Mandarin, diff verb","DO",107,12,107,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 1","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L2L2","1","PD",0,"dative","Mandarin","no","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.456521739146314,"",0.178571428564082,"",0.2638888889,"",0.0347222222499999,NA,NA,NA,NA,"","",NA,"","1.4","0.07",0,"Cai Z.G., /2011/Experiment 1/Mandarin, diff verb/DO","12/Cai Z.G., /2011/Experiment 1",11,"L2L2",0.0347222222499999,0.178571428564082,0.456521739146314
"27",27,"12/Cai Z.G., /2011/Experiment 1/Mandarin, diff verb/dative","Mandarin, diff verb","PO",106,12,106,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 1","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L2L2","1","PD",0,"dative","Mandarin","no","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.821428571435918,"",0.543478260853686,"",0.2777777778,"",0.0347222222499999,NA,NA,NA,NA,"","",NA,"","1.4","0.07",0,"Cai Z.G., /2011/Experiment 1/Mandarin, diff verb/PO","12/Cai Z.G., /2011/Experiment 1",11,"L2L2",0.0347222222499999,0.543478260853686,0.821428571435918
"28",28,"12/Cai Z.G., /2011/Experiment 1/Mandarin, same verb/dative","Mandarin, same verb","DO",105,12,105,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 1","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L2L2","1","PD",0,"dative","Mandarin","yes","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.698924731148387,"",0.042402826859331,"",0.6354166667,"",0.024305555565,NA,NA,NA,NA,"","",NA,"","2.74","0.07",0,"Cai Z.G., /2011/Experiment 1/Mandarin, same verb/DO","12/Cai Z.G., /2011/Experiment 1",11,"L2L2",0.024305555565,0.042402826859331,0.698924731148387
"29",29,"12/Cai Z.G., /2011/Experiment 1/Mandarin, same verb/dative","Mandarin, same verb","PO",104,12,104,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 1","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L2L2","1","PD",0,"dative","Mandarin","yes","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.957597173140669,"",0.301075268851613,"",0.6493055556,"",0.024305555565,NA,NA,NA,NA,"","",NA,"","2.74","0.07",0,"Cai Z.G., /2011/Experiment 1/Mandarin, same verb/PO","12/Cai Z.G., /2011/Experiment 1",11,"L2L2",0.024305555565,0.301075268851613,0.957597173140669
"30",30,"12/Cai Z.G., /2011/Experiment 2/Cantonese, diff verb/dative","Cantonese, diff verb","DO",111,12,111,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 2","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L1L1","1","PD",0,"dative","Cantonese","no","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.154135338335689,"",0.0380228136867973,"",0.1076388889,"",0.08159722224,NA,NA,NA,NA,"","",NA,"","0.65","0.06",0,"Cai Z.G., /2011/Experiment 2/Cantonese, diff verb/DO","12/Cai Z.G., /2011/Experiment 2",11,"L1L1",0.08159722224,0.0380228136867973,0.154135338335689
"31",31,"12/Cai Z.G., /2011/Experiment 2/Cantonese, diff verb/dative","Cantonese, diff verb","PO",110,12,110,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 2","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L1L1","1","PD",0,"dative","Cantonese","no","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.961977186313203,"",0.845864661664311,"",0.09722222222,"",0.08159722224,NA,NA,NA,NA,"","",NA,"","0.65","0.06",0,"Cai Z.G., /2011/Experiment 2/Cantonese, diff verb/PO","12/Cai Z.G., /2011/Experiment 2",11,"L1L1",0.08159722224,0.845864661664311,0.961977186313203
"32",32,"12/Cai Z.G., /2011/Experiment 2/Cantonese, same verb/dative","Cantonese, same verb","DO",109,12,109,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 2","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L1L1","1","PD",0,"dative","Cantonese","yes","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.398550724605167,"",0.0107526881758169,"",0.3715277778,"",0.036458333365,NA,NA,NA,NA,"","",NA,"","1.48","0.06",0,"Cai Z.G., /2011/Experiment 2/Cantonese, same verb/DO","12/Cai Z.G., /2011/Experiment 2",11,"L1L1",0.036458333365,0.0107526881758169,0.398550724605167
"33",33,"12/Cai Z.G., /2011/Experiment 2/Cantonese, same verb/dative","Cantonese, same verb","PO",108,12,108,0,"AJ","Cai Z.G., Pickering M.J., Yan H., Branigan H.P.","2011","Experiment 2","72&72",72,72,"32","4&4",4,4,"College students in Guangzhou; L1 Cantonese, fluent in Mandarin","L1L1","1","PD",0,"dative","Cantonese","yes","no","0","p. 436: ....We predicted withinand between-languagestructural priming, together with a lexical boost and acognate boost.","prime type (DO or PO) x verb meaning (same different) x prime language (Mandarin or Cantonese)",0.989247311824183,"",0.601449275394833,"",0.3819444444,"",0.036458333365,NA,NA,NA,NA,"","",NA,"","1.48","0.06",0,"Cai Z.G., /2011/Experiment 2/Cantonese, same verb/PO","12/Cai Z.G., /2011/Experiment 2",11,"L1L1",0.036458333365,0.601449275394833,0.989247311824183
