time,subject,controller,item,element,item_type,group,prime,completion,type,condition,exp
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,146,0,target22,NULL,We questioned the caretakers of the building that,left everything a mess.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,161,0,prime30,NULL,The committee posted the survey of the homeowners which was,incomplete.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,162,0,target30,NULL,The biographer studied the photograph of the aristocrats that,lived long ago.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,103,0,prime1,NULL,Fran corrected the manuscript of the authors who were,making mistakes.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,104,0,target1,NULL,Terry inspected the lawn of the parents that,lived there.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,175,0,prime37,NULL,The adjustor checked the insurance of the drivers which was,expired.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,176,0,target37,NULL,The bodybuilder followed the program of the trainers that,gave him advice.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,191,0,prime45,NULL,Natalya designed the uniform of the cheerleaders which was,sporty.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,192,0,target45,NULL,The veteran accompanied the climbers of the mountain that,went to the top.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,153,0,prime26,NULL,Raquel recorded the seminar of the mentors which was,riveting.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,154,0,target26,NULL,The corporation endorsed the promotion of the partners that,created it.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,105,0,prime2,NULL,The bartender found the receipt of the customers who were,fighting in the parlor.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,106,0,target2,NULL,The staff cleaned the stage of the performers that,had sex.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,125,0,prime12,NULL,Yvette organized the meeting of the agents who were,not thrilled.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,126,0,target12,NULL,The physician treated the patients of the hospital that,were sick.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,147,0,prime23,NULL,The kids found the camp of the hikers who were,dead.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,148,0,target23,NULL,The volunteer helped the planners of the event that,had come down with illness.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,169,0,prime34,NULL,The agency marketed the image of the models which was,dark.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,170,0,target34,NULL,The host invited the guests of the celebration that,raged on through the night.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,135,0,prime17,NULL,We bought the company of the entrepreneurs who were,looking to sell.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,136,0,target17,NULL,Jose built the shelter of the refugees that,escaped from Mexico.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,157,0,prime28,NULL,The tour guide led the excursion of the sightseers which was,outside.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,158,0,target28,NULL,The professionals repaired the furniture of the residents that,broke it.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,159,0,prime29,NULL,The businessmen appreciated the contribution of the investors which was,significant.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,160,0,target29,NULL,Xavier admired the skill of the bodyguards that,beat up his assailant.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,181,0,prime40,NULL,Claudio commemorated the adventure of the backpackers which was,tragic.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,182,0,target40,NULL,The teacher resolved the dispute of the classmates,who were fighting.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,113,0,prime6,NULL,The reporter visited the district of the voters who were,disgruntled.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,114,0,target6,NULL,The spy described the hideout of the rebels that,took on the government.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,139,0,prime19,NULL,We criticized the viewpoint of the journalists who were,biased.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,140,0,target19,NULL,They congratulated the winners of the tournament that,were still there.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,141,0,prime20,NULL,The pilot flew the plane of the millionaires who were,going to Hawaii.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,142,0,target20,NULL,Lee watched the groundskeepers of the garden that,took care of the lawn.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,163,0,prime31,NULL,The panel rejected the submission of the collaborators which was,insufficient.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,164,0,target31,NULL,The board fired the members of the organization that,weren't pulling their weight.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,173,0,prime36,NULL,The villager welcomed the arrival of the travellers which was,late.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,174,0,target36,NULL,The hero confronted the guardians of the treasure that,stood in their way.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,171,0,prime35,NULL,The filmmaker shot the video of the siblings which was,not good quality.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,172,0,target35,NULL,The expert identified the apprentices of the trade that,they were in.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,197,0,prime48,NULL,The builders renovated the office of the coworkers which was,a lot nicer now.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,198,0,target48,NULL,Naomi liked the administrators of the department that,she worked for.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,155,0,prime27,NULL,The citizens respected the decision of the representatives which was,controversial.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,156,0,target27,NULL,The public condemned the action of the accomplices that,committed the crime.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,111,0,prime5,NULL,The critic entered the restaurant of the chefs who were,quarreling.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,112,0,target5,NULL,The plumber entered the bathroom of the residents that,were pooping.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,179,0,prime39,NULL,The doctor confirmed the diagnosis of the specialists which was,not good.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,180,0,target39,NULL,The minors vandalized the fence of the neighbors that,they didn't know.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,167,0,prime33,NULL,Sebastian took the recommendation of the agents which was,good advice.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,168,0,target33,NULL,The activist joined the advocates of the cause that,they believed in.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,165,0,prime32,NULL,The shepherd understood the task of the ranchers which was,to rustle cattle.,target,InAn-high,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,166,0,target32,NULL,The amateur envied the players of the sport that,he was not good at.,target,AnIn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,137,0,prime18,NULL,Amara observed the rehearsal of the actors who were,struggling.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,138,0,target18,NULL,The janitor cleaned the dorm of the sophomores that,puked last night.,target,InAn,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,115,0,prime7,NULL,The commentator announced the score of the contestants who were,winning.,target,InAn-low,exp2
1609377872,915972cbc7b1fe71b95845b8681cfc10,Stim_Form,116,0,target7,NULL,The police arrested the inhabitants of the building that,were on drugs.,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,193,0,prime46,NULL,The electrician left the kitchen of the housemates which was,in the hills,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,194,0,target46,NULL,The attorney sued the bosses of the institution that,they sabatoged his stuff,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,185,0,prime42,NULL,The therapist analyzed the relationship of the spouses which was,amazing,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,186,0,target42,NULL,The servants maintained the palace of the noblemen that,was in the desert,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,177,0,prime38,NULL,The firm accepted the case of the clients which was,awesome,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,178,0,target38,NULL,The historian explained the legacy of the forefathers that,people went wow,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,117,0,prime8,NULL,The professor found the list of the students who were,making success,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,118,0,target8,NULL,The fans cheered for the recipients of the prize that,they all went partying,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,195,0,prime47,NULL,The cast previewed the script of the playwrights which was,written for the actors,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,196,0,target47,NULL,The collector approached the sellers of the antique that,went awkward,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,107,0,prime3,NULL,We passed the property of the landowners who were,on the news of an interview,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,108,0,target3,NULL,They increased the salary of the landscapers that,they enjoyed it,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,181,0,prime40,NULL,Claudio commemorated the adventure of the backpackers which was,a bit cool,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,182,0,target40,NULL,The teacher resolved the dispute of the classmates,who were struggling,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,191,0,prime45,NULL,Natalya designed the uniform of the cheerleaders which was,beautiful,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,192,0,target45,NULL,The veteran accompanied the climbers of the mountain that,went through a long journey,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,109,0,prime4,NULL,Leo viewed the painting of the kings who were,ruling the kingdoms,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,110,0,target4,NULL,The FBI searched the boardroom of the executives that,were victims of the murder/crime scene,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,115,0,prime7,NULL,The commentator announced the score of the contestants who were,the best champions,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,116,0,target7,NULL,The police arrested the inhabitants of the building that,went on fire,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,131,0,prime15,NULL,The witness recognized the vehicle of the victims who were,fleeing the crime scene,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,132,0,target15,NULL,The coach lost the trophy of the athletes that,won the game,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,129,0,prime14,NULL,The prophet addressed the concern of the believers who were,good souls,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,130,0,target14,NULL,The photographer captured the vacation of the sisters that,were by the beach,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,159,0,prime29,NULL,The businessmen appreciated the contribution of the investors which was,making good money,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,160,0,target29,NULL,Xavier admired the skill of the bodyguards that,saved his life and protected him,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,125,0,prime12,NULL,Yvette organized the meeting of the agents who were,advanced levdel,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,126,0,target12,NULL,The physician treated the patients of the hospital that,they would be cured,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,103,0,prime1,NULL,Fran corrected the manuscript of the authors who were,intelligent.,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,104,0,target1,NULL,Terry inspected the lawn of the parents that,were elderly.,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,167,0,prime33,NULL,Sebastian took the recommendation of the agents which was,very nice,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,168,0,target33,NULL,The activist joined the advocates of the cause that,made them happy,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,133,0,prime16,NULL,The firemen left the house of the hippies who were,drunk,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,134,0,target16,NULL,The archeologist uncovered the cave of the Neanderthals that,had bones,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,151,0,prime25,NULL,The publisher approved the work of the editors which was,an amazing art of work,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,152,0,target25,NULL,The crowd surrounded the car of the friends that,were just passing by,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,189,0,prime44,NULL,The shopper heard the tantrum of the children which was,funny,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,190,0,target44,NULL,Austin praised the developers of the game that,they made an update that every player would enjoy,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,127,0,prime13,NULL,The officer confiscated the inheritance of the brothers who were,robbing a bank,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,128,0,target13,NULL,The tourist noticed the altar of the worshippers that,prayed,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,197,0,prime48,NULL,The builders renovated the office of the coworkers which was,new,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,198,0,target48,NULL,Naomi liked the administrators of the department that,they just built,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,169,0,prime34,NULL,The agency marketed the image of the models which was,being offensive to the public,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,170,0,target34,NULL,The host invited the guests of the celebration that,just started,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,111,0,prime5,NULL,The critic entered the restaurant of the chefs who were,famous,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,112,0,target5,NULL,The plumber entered the bathroom of the residents that,had a big problem,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,113,0,prime6,NULL,The reporter visited the district of the voters who were,republicans,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,114,0,target6,NULL,The spy described the hideout of the rebels that,tried to over turn the government,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,141,0,prime20,NULL,The pilot flew the plane of the millionaires who were,famous,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,142,0,target20,NULL,Lee watched the groundskeepers of the garden that,were very talented,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,119,0,prime9,NULL,Everyone read the report of the scientists who were,awesome,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,120,0,target9,NULL,Chris served the attendees of the party that,were invited yesterday,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,171,0,prime35,NULL,The filmmaker shot the video of the siblings which was,making a movie,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,172,0,target35,NULL,The expert identified the apprentices of the trade that,were stolen and gone wrong,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,139,0,prime19,NULL,We criticized the viewpoint of the journalists who were,lying,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,140,0,target19,NULL,They congratulated the winners of the tournament that,practiced hard and won,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,157,0,prime28,NULL,The tour guide led the excursion of the sightseers which was,very excited,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,158,0,target28,NULL,The professionals repaired the furniture of the residents that,moved here last month,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,163,0,prime31,NULL,The panel rejected the submission of the collaborators which was,bad,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,164,0,target31,NULL,The board fired the members of the organization that,was corrupt,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,165,0,prime32,NULL,The shepherd understood the task of the ranchers which was,needed,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,166,0,target32,NULL,The amateur envied the players of the sport that,most people like,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,161,0,prime30,NULL,The committee posted the survey of the homeowners which was,online,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,162,0,target30,NULL,The biographer studied the photograph of the aristocrats that,came out,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,123,0,prime11,NULL,The landlord reviewed the lease of the tenants who were,late,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,124,0,target11,NULL,The secretary contacted the signers of the petition that,was from out of state,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,179,0,prime39,NULL,The doctor confirmed the diagnosis of the specialists which was,yesterday,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,180,0,target39,NULL,The minors vandalized the fence of the neighbors that,was new,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,121,0,prime10,NULL,The ruling impacted the village of the farmers who were,poor,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,122,0,target10,NULL,Andrew spoke to the patrons of the supermarket that,were minorities,target,AnIn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,155,0,prime27,NULL,The citizens respected the decision of the representatives which was,fair,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,156,0,target27,NULL,The public condemned the action of the accomplices that,weren't clear,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,175,0,prime37,NULL,The adjustor checked the insurance of the drivers which was,expired,target,InAn-high,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,176,0,target37,NULL,The bodybuilder followed the program of the trainers that,was provided,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,135,0,prime17,NULL,We bought the company of the entrepreneurs who were,nice,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,136,0,target17,NULL,Jose built the shelter of the refugees that,were from mexico,target,InAn,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,145,0,prime22,NULL,Kurt set the schedule of the lawyers who were,busy,target,InAn-low,exp2
1609380248,d7d313acd65ce0a437cf145e6527c2fd,Stim_Form,146,0,target22,NULL,We questioned the caretakers of the building that,was damaged,target,AnIn,exp2
